"date;""price"""
28/08/2019;114.76
27/08/2019;114.85
26/08/2019;116.34
23/08/2019;115.98
22/08/2019;117.71
21/08/2019;116.38
20/08/2019;116.79
19/08/2019;116.96
16/08/2019;116.10
15/08/2019;114.82
14/08/2019;112.58
13/08/2019;112.26
12/08/2019;110.59
09/08/2019;112.01
08/08/2019;111.42
07/08/2019;111.99
06/08/2019;111.62
05/08/2019;110.03
02/08/2019;115.54
01/08/2019;117.58
31/07/2019;118.94
30/07/2019;120.11
29/07/2019;121.45
26/07/2019;121.40
25/07/2019;120.64
24/07/2019;120.03
23/07/2019;119.46
22/07/2019;117.25
19/07/2019;117.92
18/07/2019;117.57
17/07/2019;116.19
16/07/2019;116.82
15/07/2019;116.48
12/07/2019;117.86
11/07/2019;117.02
10/07/2019;116.10
09/07/2019;116.47
08/07/2019;115.66
05/07/2019;116.32
04/07/2019;117.43
03/07/2019;116.71
02/07/2019;118.54
01/07/2019;119.28
28/06/2019;118.20
27/06/2019;114.85
26/06/2019;115.20
25/06/2019;113.33
24/06/2019;111.93
21/06/2019;114.88
20/06/2019;115.63
19/06/2019;115.67
18/06/2019;112.60
17/06/2019;109.61
14/06/2019;109.08
13/06/2019;109.93
12/06/2019;109.75
11/06/2019;109.94
10/06/2019;109.77
07/06/2019;106.94
05/06/2019;106.51
04/06/2019;107.59
03/06/2019;107.38
31/05/2019;108.90
30/05/2019;109.99
29/05/2019;108.89
28/05/2019;109.82
27/05/2019;110.64
24/05/2019;107.52
23/05/2019;107.46
22/05/2019;108.26
21/05/2019;109.64
20/05/2019;109.89
17/05/2019;107.79
16/05/2019;110.47
15/05/2019;111.93
14/05/2019;110.36
13/05/2019;108.78
10/05/2019;110.66
09/05/2019;109.94
08/05/2019;108.43
07/05/2019;112.30
06/05/2019;112.22
03/05/2019;111.40
02/05/2019;117.71
29/04/2019;117.67
26/04/2019;118.06
25/04/2019;116.81
24/04/2019;120.01
23/04/2019;119.26
19/04/2019;122.24
18/04/2019;122.07
17/04/2019;121.33
16/04/2019;119.34
15/04/2019;119.98
12/04/2019;118.73
11/04/2019;120.16
10/04/2019;122.23
09/04/2019;123.02
08/04/2019;123.03
04/04/2019;123.00
03/04/2019;121.11
02/04/2019;121.76
01/04/2019;121.22
29/03/2019;117.02
28/03/2019;114.14
27/03/2019;113.52
26/03/2019;111.97
25/03/2019;113.86
22/03/2019;114.63
21/03/2019;115.61
20/03/2019;114.17
19/03/2019;115.39
18/03/2019;114.72
15/03/2019;113.32
14/03/2019;110.94
13/03/2019;111.71
12/03/2019;113.24
11/03/2019;110.87
08/03/2019;110.47
07/03/2019;112.41
06/03/2019;113.11
05/03/2019;112.72
04/03/2019;114.24
01/03/2019;109.24
28/02/2019;108.62
27/02/2019;109.27
26/02/2019;110.66
25/02/2019;109.28
22/02/2019;103.71
21/02/2019;104.60
20/02/2019;103.73
19/02/2019;104.38
18/02/2019;103.75
15/02/2019;102.58
14/02/2019;103.84
13/02/2019;102.48
12/02/2019;102.15
11/02/2019;101.28
01/02/2019;98.71
31/01/2019;98.01
30/01/2019;97.56
29/01/2019;96.64
28/01/2019;97.14
25/01/2019;96.39
24/01/2019;95.02
23/01/2019;94.67
22/01/2019;95.09
21/01/2019;96.49
18/01/2019;94.84
17/01/2019;94.90
16/01/2019;93.81
15/01/2019;93.01
14/01/2019;91.64
11/01/2019;90.93
10/01/2019;90.84
09/01/2019;91.53
08/01/2019;89.87
07/01/2019;89.67
04/01/2019;89.18
03/01/2019;88.45
02/01/2019;88.31
31/12/2018;89.39
28/12/2018;89.39
27/12/2018;89.26
21/12/2018;89.27
20/12/2018;90.38
19/12/2018;92.75
18/12/2018;93.29
17/12/2018;94.75
14/12/2018;95.57
13/12/2018;96.28
12/12/2018;94.01
11/12/2018;92.65
10/12/2018;92.59
07/12/2018;93.43
06/12/2018;94.42
05/12/2018;96.48
04/12/2018;95.56
29/11/2018;92.97
28/11/2018;92.30
27/11/2018;91.43
26/11/2018;91.46
23/11/2018;91.53
22/11/2018;92.37
21/11/2018;92.82
20/11/2018;92.77
19/11/2018;94.69
16/11/2018;95.20
15/11/2018;93.94
14/11/2018;94.34
13/11/2018;94.40
12/11/2018;93.34
09/11/2018;92.65
08/11/2018;94.56
07/11/2018;95.10
06/11/2018;93.91
05/11/2018;95.03
02/11/2018;94.36
31/10/2018;91.14
30/10/2018;89.36
29/10/2018;90.10
25/10/2018;92.02
24/10/2018;94.60
23/10/2018;93.96
22/10/2018;95.82
19/10/2018;88.66
18/10/2018;89.81
16/10/2018;92.07
12/10/2018;92.97
11/10/2018;92.22
10/10/2018;96.15
09/10/2018;97.47
08/10/2018;98.18
28/09/2018;101.09
27/09/2018;99.83
26/09/2018;100.83
21/09/2018;98.91
20/09/2018;97.76
19/09/2018;97.15
18/09/2018;93.36
17/09/2018;93.86
14/09/2018;94.17
13/09/2018;93.23
12/09/2018;93.50
11/09/2018;95.01
10/09/2018;95.97
07/09/2018;95.42
06/09/2018;95.87
05/09/2018;97.69
04/09/2018;97.40
03/09/2018;97.30
31/08/2018;98.34
30/08/2018;99.01
28/08/2018;100.96
27/08/2018;100.58
24/08/2018;96.88
23/08/2018;97.19
22/08/2018;98.48
21/08/2018;99.75
20/08/2018;96.55
17/08/2018;97.29
16/08/2018;97.46
14/08/2018;100.85
13/08/2018;100.47
10/08/2018;101.68
09/08/2018;101.25
08/08/2018;100.01
07/08/2018;98.59
06/08/2018;97.34
03/08/2018;98.26
02/08/2018;98.88
01/08/2018;103.75
